CRN,Ders Kodu,Ders Adı,Öğretim Yöntemi,Öğretim Üyesi,Bina,Gün,Saat,Derslik,Kontenjan,Yazılan,Reservasyon Böl./Kont./Yaz.,Dersi Alabilen Programlar,Ders Önşartları,Başarılan Kredi/Sınıf Önşartı,bransKodu
30414,MAK 201E,Engineering Mathematics,Fiziksel (Yüz yüze),Hakan Öksüzoğlu,MKB MKB MKB,Pazartesi Pazartesi Çarşamba,10:00/12:29 13:30/16:59 14:00/17:29,D317 D317 D317,50,38,-,"IML_LS, MAK_LS",Detay,-,MAK
30423,MAK 205,Mukavemet I,Fiziksel (Yüz yüze),Hacı Abdullah Taşdemir,MKB MKB,Salı Perşembe,13:30/17:29 14:30/17:29,A501 A501,0,0,-,"MAK_LS, MKN_YD_MK",Detay,-,MAK
30426,MAK 205,Mukavemet I,Fiziksel (Yüz yüze),"Adil Yücel , Emin Orhun Baştekeli",MKB MKB,Salı Salı,10:00/12:59 13:30/17:29,D318 D318,80,73,-,"MAK_LS, MKN_YD_MK",Detay,-,MAK
30428,MAK 206,Mukavemet II,Fiziksel (Yüz yüze),"Adil Yücel , Emin Orhun Baştekeli",MKB MKB,Perşembe Perşembe,10:00/12:59 13:30/17:29,D318 D318,100,79,-,"MAK_LS, MKN_YD_MK",Detay,-,MAK
30415,MAK 210E,Engineering Mathematics,Fiziksel (Yüz yüze),Hakan Öksüzoğlu,MKB MKB MKB,Pazartesi Pazartesi Çarşamba,10:00/12:29 13:30/16:59 14:00/17:29,D317 D317 D317,30,11,-,"IML_LS, MAK_LS",Detay,-,MAK
30430,MAK 213,Malzeme Bilimi,Fiziksel (Yüz yüze),Raşid Ahmed Yıldız,MKB MKB MKB,Salı Çarşamba Çarşamba,13:30/15:59 10:00/12:59 13:30/17:29,D355 D355 D355,30,4,-,"IML_LS, MAK_LS",-,-,MAK
30444,MAK 215,Termodinamik I,Fiziksel (Yüz yüze),"Yakup Erhan Böke , Mustafa Özdemir",MKB MKB,Pazartesi Pazartesi,08:30/12:29 14:30/17:29,D368A D368A,30,5,-,"MAK_LS, MKN_YD_MK",Detay,-,MAK
30427,MAK 219,Mukavemet I,Fiziksel (Yüz yüze),"Adil Yücel , Emin Orhun Baştekeli",MKB MKB MKB,Salı Salı Çarşamba,10:00/12:59 13:30/17:29 10:00/12:29,D318 D318 D318,30,4,-,"MAK_LS, MKN_YD_MK",Detay,-,MAK
30429,MAK 220,Mukavemet II,Fiziksel (Yüz yüze),"Adil Yücel , Emin Orhun Baştekeli",MKB MKB MKB,Çarşamba Perşembe Perşembe,13:30/15:59 10:00/12:59 13:30/17:29,D318 D318 D318,30,13,-,"MAK_LS, MKN_YD_MK",Detay,-,MAK
30431,MAK 223,Malzeme Bilimi,Fiziksel (Yüz yüze),Raşid Ahmed Yıldız,MKB MKB MKB,Salı Çarşamba Çarşamba,13:30/15:59 10:00/12:59 13:30/17:29,D355 D355 D355,30,20,-,"IML_LS, MAK_LS",Detay,-,MAK
30446,MAK 226,Termodinamik II,Fiziksel (Yüz yüze),"Yakup Erhan Böke , Mustafa Özdemir",MKB MKB,Salı Salı,09:00/12:59 14:00/16:59,D368A D368A,40,36,-,"MAK_LS, MKN_YD_MK",Detay,-,MAK
30420,MAK 228,Akışkanlar Mekaniği I,Fiziksel (Yüz yüze),"Sertaç Çadırcı , Hasan Güneş",MKB MKB,Çarşamba Çarşamba,09:00/12:59 14:00/16:59,A201 A201,30,25,-,"MAK_LS, MAK_YD",Detay,-,MAK
30421,MAK 229,Akışkanlar Mekaniği II,Fiziksel (Yüz yüze),"Sertaç Çadırcı , Hasan Güneş",MKB MKB,Perşembe Perşembe,14:00/16:59 09:00/12:59,A201 A201,60,54,-,MAK_LS,Detay,-,MAK
30445,MAK 231,Termodinamik I,Fiziksel (Yüz yüze),"Yakup Erhan Böke , Mustafa Özdemir",MKB MKB,Pazartesi Pazartesi,08:30/12:29 14:30/17:29,D368A D368A,45,33,-,"MAK_LS, MKN_YD_MK",Detay,-,MAK
30447,MAK 232,Termodinamik II,Fiziksel (Yüz yüze),"Yakup Erhan Böke , Mustafa Özdemir",MKB MKB,Salı Salı,09:00/12:59 14:00/16:59,D368A D368A,55,45,-,"MAK_LS, MKN_YD_MK",Detay,-,MAK
30418,MAK 234,Akışkanlar Mekaniği I,Fiziksel (Yüz yüze),"Sertaç Çadırcı , Hasan Güneş",MKB MKB,Çarşamba Çarşamba,09:00/12:59 14:00/16:59,A201 A201,60,48,-,"MAK_LS, MAK_YD",Detay,-,MAK
30456,MAK 301,Makina Elemanları I,Fiziksel (Yüz yüze),"İbrahim Mehmet Palabıyık , İsmail Kaya",MKB MKB,Pazartesi Pazartesi,08:30/12:29 13:30/16:29,R362 R362,40,28,-,"MAK_LS, MAK_YD, YAN_YD",Detay,-,MAK
30450,MAK 303,Isı Geçişi,Fiziksel (Yüz yüze),Ali İhsan Koca,MKB MKB MKB,Pazartesi Salı Salı,13:30/14:59 08:30/12:29 13:30/17:29,D353 D353 D353,30,7,-,"MAK_LS, MAK_YD, YAN_YD",Detay,-,MAK
30416,MAK 307,İmal Usulleri,Fiziksel (Yüz yüze),Ali Gökşenli,MKB MKB,Salı Çarşamba,08:30/13:29 08:30/12:59,A363 A363,40,16,-,"MAK_LS, MAK_YD",Detay,-,MAK
30413,MAK 309,Mekanik Titreşimler,Fiziksel (Yüz yüze),Akif Yavuz,MKB MKB,Salı Salı,13:30/17:29 10:30/13:29,D360 D360,30,22,-,"MAK_LS, MAK_YD, MKN_YD_MK",Detay,-,MAK
30425,MAK 310,Makina Teorisi,Fiziksel (Yüz yüze),Akif Yavuz,MKB MKB,Çarşamba Çarşamba,09:30/13:29 14:30/17:29,D360 D360,30,26,-,"MAK_LS, MKN_YD_MK",Detay,-,MAK
30451,MAK 313,Isı Geçişi,Fiziksel (Yüz yüze),Ali İhsan Koca,MKB MKB MKB,Pazartesi Salı Salı,13:30/14:59 08:30/12:29 13:30/17:29,D353 D353 D353,40,38,-,"MAK_LS, MAK_YD, YAN_YD",Detay,-,MAK
30412,MAK 315,Mekanik Titreşimler,Fiziksel (Yüz yüze),Akif Yavuz,MKB MKB,Pazartesi Pazartesi,10:30/13:29 13:30/17:29,D360 D360,50,35,-,"MAK_LS, MAK_YD, MKN_YD_MK",Detay,-,MAK
30424,MAK 324,Makina Teorisi,Fiziksel (Yüz yüze),Akif Yavuz,MKB MKB,Çarşamba Çarşamba,09:30/13:29 14:30/17:29,D360 D360,30,20,-,"MAK_LS, MKN_YD_MK",Detay,-,MAK
30419,MAK 335,Akışkanlar Mekaniği II,Fiziksel (Yüz yüze),"Sertaç Çadırcı , Hasan Güneş",MKB MKB,Perşembe Perşembe,14:00/16:59 09:00/12:59,A201 A201,50,40,-,MAK_LS,Detay,-,MAK
30458,MAK 339,Makina Elemanları I,Fiziksel (Yüz yüze),"İbrahim Mehmet Palabıyık , İsmail Kaya",MKB MKB MKB MKB,Perşembe Perşembe Cuma Cuma,08:30/12:29 13:30/16:29 09:30/12:29 14:30/16:29,R362 R362 R362 R362,30,11,-,"MAK_LS, MAK_YD, YAN_YD",Detay,-,MAK
30417,MAK 353,İmal Usulleri,Fiziksel (Yüz yüze),Ali Gökşenli,MKB MKB,Salı Çarşamba,08:30/13:29 08:30/12:59,A363 A363,40,19,-,"MAK_LS, MAK_YD",Detay,-,MAK
30454,MAL 201,Malzeme Bilimi,Fiziksel (Yüz yüze),Mehtap Arslan Kaba,KMB KMB,Salı Çarşamba,08:30/11:59 08:30/11:59,D302 D302,50,44,-,"GID_LS, KMM_LS",-,-,MAL
